StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q13,Q5,Q6,Q14_First Click,Q14_Last Click,Q14_Page Submit,Q14_Click Count,Q15,1_Q16_First Click,1_Q16_Last Click,1_Q16_Page Submit,1_Q16_Click Count,1_Q10_1,2_Q16_First Click,2_Q16_Last Click,2_Q16_Page Submit,2_Q16_Click Count,2_Q10_1,3_Q16_First Click,3_Q16_Last Click,3_Q16_Page Submit,3_Q16_Click Count,3_Q10_1,4_Q16_First Click,4_Q16_Last Click,4_Q16_Page Submit,4_Q16_Click Count,4_Q10_1,5_Q16_First Click,5_Q16_Last Click,5_Q16_Page Submit,5_Q16_Click Count,5_Q10_1,6_Q16_First Click,6_Q16_Last Click,6_Q16_Page Submit,6_Q16_Click Count,6_Q10_1,7_Q16_First Click,7_Q16_Last Click,7_Q16_Page Submit,7_Q16_Click Count,7_Q10_1,8_Q16_First Click,8_Q16_Last Click,8_Q16_Page Submit,8_Q16_Click Count,8_Q10_1,9_Q16_First Click,9_Q16_Last Click,9_Q16_Page Submit,9_Q16_Click Count,9_Q10_1,10_Q16_First Click,10_Q16_Last Click,10_Q16_Page Submit,10_Q16_Click Count,10_Q10_1,11_Q16_First Click,11_Q16_Last Click,11_Q16_Page Submit,11_Q16_Click Count,11_Q10_1,12_Q16_First Click,12_Q16_Last Click,12_Q16_Page Submit,12_Q16_Click Count,12_Q10_1,13_Q16_First Click,13_Q16_Last Click,13_Q16_Page Submit,13_Q16_Click Count,13_Q10_1,14_Q16_First Click,14_Q16_Last Click,14_Q16_Page Submit,14_Q16_Click Count,14_Q10_1,15_Q16_First Click,15_Q16_Last Click,15_Q16_Page Submit,15_Q16_Click Count,15_Q10_1,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I hereby declare that I have been informed in a clear manner about the nature and method of the research. My questions have been answered satisfactorily.    I agree, fully and voluntarily, to participate in this research study. With this, I retain the right to withdraw my consent, without having to give a reason for doing so. I am aware that I may halt my participation in the survey at any time.    If my research results are used in scientific publications or are made public in another way, this will be done such a way that my anonymity is completely safeguarded. My personal data will not be passed on to third parties without my express permission.",This study is only for iPhone users. Are you currently using an iPhone - and have you owned an iPhone for at least two years?,Have you used the following apps for at least two years? - WhatsApp,Have you used the following apps for at least two years? - Facebook,Have you used the following apps for at least two years? - Facebook Messenger,Have you used the following apps for at least two years? - Instagram,Have you used the following apps for at least two years? - Snapchat,"Please enter your Prolific ID. Prolific IDs have 24 alphanumeric  characters. If your ID is displayed in the field below please check it,  as we can only pay you if your ID is correct.",What's your age in years?,What's your gender?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Based on the instructions above, which answer have you been asked to select if you want to proceed?",Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3KjgGKsfuIhcSQB - Timing - First Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3KjgGKsfuIhcSQB - Timing - Last Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3KjgGKsfuIhcSQB - Timing - Page Submit,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3KjgGKsfuIhcSQB - Timing - Click Count,How rewarding do you find this app? - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3KjgGKsfuIhcSQB - .,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2u7X4fc8livLlB3 - Timing - First Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2u7X4fc8livLlB3 - Timing - Last Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2u7X4fc8livLlB3 - Timing - Page Submit,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2u7X4fc8livLlB3 - Timing - Click Count,How rewarding do you find this app? - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2u7X4fc8livLlB3 - .,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8wUGtQVxa45GWi1 - Timing - First Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8wUGtQVxa45GWi1 - Timing - Last Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8wUGtQVxa45GWi1 - Timing - Page Submit,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8wUGtQVxa45GWi1 - Timing - Click Count,How rewarding do you find this app? - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8wUGtQVxa45GWi1 - .,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5msJ2JMwqz7WdIF - Timing - First Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5msJ2JMwqz7WdIF - Timing - Last Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5msJ2JMwqz7WdIF - Timing - Page Submit,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5msJ2JMwqz7WdIF - Timing - Click Count,How rewarding do you find this app? - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5msJ2JMwqz7WdIF - .,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_71Wep6igtwY4Dyd - Timing - First Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_71Wep6igtwY4Dyd - Timing - Last Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_71Wep6igtwY4Dyd - Timing - Page Submit,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_71Wep6igtwY4Dyd - Timing - Click Count,How rewarding do you find this app? - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_71Wep6igtwY4Dyd - .,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_20qcyKGInEILsdD - Timing - First Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_20qcyKGInEILsdD - Timing - Last Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_20qcyKGInEILsdD - Timing - Page Submit,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_20qcyKGInEILsdD - Timing - Click Count,How rewarding do you find this app? - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_20qcyKGInEILsdD - .,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iR6QnpnGv4APMp - Timing - First Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iR6QnpnGv4APMp - Timing - Last Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iR6QnpnGv4APMp - Timing - Page Submit,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iR6QnpnGv4APMp - Timing - Click Count,How rewarding do you find this app? - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iR6QnpnGv4APMp - .,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cMXGxuzwmvJ0RuZ - Timing - First Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cMXGxuzwmvJ0RuZ - Timing - Last Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cMXGxuzwmvJ0RuZ - Timing - Page Submit,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cMXGxuzwmvJ0RuZ - Timing - Click Count,How rewarding do you find this app? - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cMXGxuzwmvJ0RuZ - .,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3UhdwaRonZxGAhT - Timing - First Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3UhdwaRonZxGAhT - Timing - Last Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3UhdwaRonZxGAhT - Timing - Page Submit,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3UhdwaRonZxGAhT - Timing - Click Count,How rewarding do you find this app? - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3UhdwaRonZxGAhT - .,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eyvjUY0RW63736d - Timing - First Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eyvjUY0RW63736d - Timing - Last Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eyvjUY0RW63736d - Timing - Page Submit,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eyvjUY0RW63736d - Timing - Click Count,How rewarding do you find this app? - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eyvjUY0RW63736d - .,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3VH8rwe9airzzEN - Timing - First Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3VH8rwe9airzzEN - Timing - Last Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3VH8rwe9airzzEN - Timing - Page Submit,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3VH8rwe9airzzEN - Timing - Click Count,How rewarding do you find this app? - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3VH8rwe9airzzEN - .,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_29QuRHEpPjWJxWt - Timing - First Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_29QuRHEpPjWJxWt - Timing - Last Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_29QuRHEpPjWJxWt - Timing - Page Submit,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_29QuRHEpPjWJxWt - Timing - Click Count,How rewarding do you find this app? - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_29QuRHEpPjWJxWt - .,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a41FnkSj2Pfur2Z - Timing - First Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a41FnkSj2Pfur2Z - Timing - Last Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a41FnkSj2Pfur2Z - Timing - Page Submit,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a41FnkSj2Pfur2Z - Timing - Click Count,How rewarding do you find this app? - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a41FnkSj2Pfur2Z - .,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a9NbUsfedTSJhWt - Timing - First Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a9NbUsfedTSJhWt - Timing - Last Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a9NbUsfedTSJhWt - Timing - Page Submit,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a9NbUsfedTSJhWt - Timing - Click Count,How rewarding do you find this app? - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a9NbUsfedTSJhWt - .,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0qAsSeO71fFBF7D - Timing - First Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0qAsSeO71fFBF7D - Timing - Last Click,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0qAsSeO71fFBF7D - Timing - Page Submit,Timing - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0qAsSeO71fFBF7D - Timing - Click Count,How rewarding do you find this app? - https://psychru.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0qAsSeO71fFBF7D - .,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID15""}","{""ImportId"":""1_QID16_FIRST_CLICK""}","{""ImportId"":""1_QID16_LAST_CLICK""}","{""ImportId"":""1_QID16_PAGE_SUBMIT""}","{""ImportId"":""1_QID16_CLICK_COUNT""}","{""ImportId"":""1_QID10_1""}","{""ImportId"":""2_QID16_FIRST_CLICK""}","{""ImportId"":""2_QID16_LAST_CLICK""}","{""ImportId"":""2_QID16_PAGE_SUBMIT""}","{""ImportId"":""2_QID16_CLICK_COUNT""}","{""ImportId"":""2_QID10_1""}","{""ImportId"":""3_QID16_FIRST_CLICK""}","{""ImportId"":""3_QID16_LAST_CLICK""}","{""ImportId"":""3_QID16_PAGE_SUBMIT""}","{""ImportId"":""3_QID16_CLICK_COUNT""}","{""ImportId"":""3_QID10_1""}","{""ImportId"":""4_QID16_FIRST_CLICK""}","{""ImportId"":""4_QID16_LAST_CLICK""}","{""ImportId"":""4_QID16_PAGE_SUBMIT""}","{""ImportId"":""4_QID16_CLICK_COUNT""}","{""ImportId"":""4_QID10_1""}","{""ImportId"":""5_QID16_FIRST_CLICK""}","{""ImportId"":""5_QID16_LAST_CLICK""}","{""ImportId"":""5_QID16_PAGE_SUBMIT""}","{""ImportId"":""5_QID16_CLICK_COUNT""}","{""ImportId"":""5_QID10_1""}","{""ImportId"":""6_QID16_FIRST_CLICK""}","{""ImportId"":""6_QID16_LAST_CLICK""}","{""ImportId"":""6_QID16_PAGE_SUBMIT""}","{""ImportId"":""6_QID16_CLICK_COUNT""}","{""ImportId"":""6_QID10_1""}","{""ImportId"":""7_QID16_FIRST_CLICK""}","{""ImportId"":""7_QID16_LAST_CLICK""}","{""ImportId"":""7_QID16_PAGE_SUBMIT""}","{""ImportId"":""7_QID16_CLICK_COUNT""}","{""ImportId"":""7_QID10_1""}","{""ImportId"":""8_QID16_FIRST_CLICK""}","{""ImportId"":""8_QID16_LAST_CLICK""}","{""ImportId"":""8_QID16_PAGE_SUBMIT""}","{""ImportId"":""8_QID16_CLICK_COUNT""}","{""ImportId"":""8_QID10_1""}","{""ImportId"":""9_QID16_FIRST_CLICK""}","{""ImportId"":""9_QID16_LAST_CLICK""}","{""ImportId"":""9_QID16_PAGE_SUBMIT""}","{""ImportId"":""9_QID16_CLICK_COUNT""}","{""ImportId"":""9_QID10_1""}","{""ImportId"":""10_QID16_FIRST_CLICK""}","{""ImportId"":""10_QID16_LAST_CLICK""}","{""ImportId"":""10_QID16_PAGE_SUBMIT""}","{""ImportId"":""10_QID16_CLICK_COUNT""}","{""ImportId"":""10_QID10_1""}","{""ImportId"":""11_QID16_FIRST_CLICK""}","{""ImportId"":""11_QID16_LAST_CLICK""}","{""ImportId"":""11_QID16_PAGE_SUBMIT""}","{""ImportId"":""11_QID16_CLICK_COUNT""}","{""ImportId"":""11_QID10_1""}","{""ImportId"":""12_QID16_FIRST_CLICK""}","{""ImportId"":""12_QID16_LAST_CLICK""}","{""ImportId"":""12_QID16_PAGE_SUBMIT""}","{""ImportId"":""12_QID16_CLICK_COUNT""}","{""ImportId"":""12_QID10_1""}","{""ImportId"":""13_QID16_FIRST_CLICK""}","{""ImportId"":""13_QID16_LAST_CLICK""}","{""ImportId"":""13_QID16_PAGE_SUBMIT""}","{""ImportId"":""13_QID16_CLICK_COUNT""}","{""ImportId"":""13_QID10_1""}","{""ImportId"":""14_QID16_FIRST_CLICK""}","{""ImportId"":""14_QID16_LAST_CLICK""}","{""ImportId"":""14_QID16_PAGE_SUBMIT""}","{""ImportId"":""14_QID16_CLICK_COUNT""}","{""ImportId"":""14_QID10_1""}","{""ImportId"":""15_QID16_FIRST_CLICK""}","{""ImportId"":""15_QID16_LAST_CLICK""}","{""ImportId"":""15_QID16_PAGE_SUBMIT""}","{""ImportId"":""15_QID16_CLICK_COUNT""}","{""ImportId"":""15_QID10_1""}","{""ImportId"":""PROLIFIC_PID""}"
2019-02-23 14:57:44,2019-02-23 14:58:05,IP Address,81.157.197.28,100,20,True,2019-02-23 14:58:07,R_2OVbXB2SHjTg5G2,,,,,51.8948974609375,-3.9501953125,anonymous,EN,I consent to participate.,Yes,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c5ee0dcfe6bce00013144dc
2019-02-23 15:01:44,2019-02-23 15:04:17,IP Address,128.240.225.40,100,152,True,2019-02-23 15:04:18,R_RrkIZj6JmTavZ2F,,,,,54.98809814453125,-1.6194000244140625,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5bef2acd036772000165ddd2,18,Female,17.676,30.206,32.388,2,No,2.334,2.334,3.397,1,-100,2.124,2.124,3.725,1,-83,1.81,1.81,2.982,1,63,1.39,1.39,2.545,1,18,2.602,5.226,6.057,2,54,1.581,2.235,2.7,2,73,1.476,1.476,2.268,1,24,1.671,1.671,2.301,1,-20,1.665,1.665,2.948,1,-34,2.164,2.164,3.593,1,-72,4.115,4.115,5.463,1,80,6.862,6.862,8.175,1,33,1.543,5.216,6.05,3,-6,2.601,2.601,4.268,1,-35,1.836,1.836,3.15,1,-50,5bef2acd036772000165ddd2
2019-02-23 15:03:09,2019-02-23 15:05:05,IP Address,92.239.131.39,100,115,True,2019-02-23 15:05:05,R_2cu6OKzhP1ndLOd,,,,,56.48199462890625,-2.9355926513671875,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5bcdd6be25295a0001a71beb,20,Female,9.455,19.005,23.136,4,No,1.881,1.881,2.853,1,-100,1.698,2.875,3.838,2,100,1.501,1.501,2.088,1,-42,3.519,3.519,4.514,1,13,1.413,1.413,2.164,1,100,2.023,2.365,2.717,2,100,3.123,4.293,6.382,4,-59,1.149,1.149,1.878,1,37,1.217,1.217,2.417,1,100,4.543,4.543,5.527,1,-27,0.898,4.861,5.528,7,-96,1.497,1.497,2.777,1,-85,1.826,1.826,2.245,1,100,2.098,2.098,2.715,1,26,1.257,1.257,2.336,1,-60,5bcdd6be25295a0001a71beb
2019-02-23 15:10:30,2019-02-23 15:15:12,IP Address,51.9.143.181,100,281,True,2019-02-23 15:15:14,R_pcRSjD2FEtjLGxz,,,,,54.118194580078125,-3.231201171875,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5928456490767e0001e869a3,24,Female,24.435,28.549,29.583,5,Yes,0.961,3.622,5.237,2,-57,4.811,6.7,7.85,2,-55,1.871,3.964,7.446,2,-30,0.073,2.288,3.471,2,33,1.313,3.276,4.268,2,55,0.867,2.524,3.916,2,81,1.978,3.222,5.202,2,56,11.054,12.612,13.979,2,-37,43.721,49.838,50.861,7,-43,4.901,8.509,12.417,3,-36,1.436,3.083,4.27,2,26,32.7,34.518,35.606,2,-25,5.16,6.959,8.205,2,-19,3.932,5.787,7.011,2,79,7.436,9.171,10.283,2,-30,5928456490767e0001e869a3
2019-02-23 15:23:23,2019-02-23 15:25:39,IP Address,178.97.212.113,100,136,True,2019-02-23 15:25:40,R_1FrdsXnme7xs3dR,,,,,53.37860107421875,-1.0625,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5bd02c180f10750001d89ae9,22,Female,0.554,19.905,21.231,11,No,0.668,2.603,3.862,3,-29,0.803,3.267,5.057,4,86,0.606,5.473,5.945,5,97,0.534,2.652,3.043,4,79,0.379,2.241,2.255,4,100,0.6,5.099,5.606,4,100,0.433,4.282,4.642,5,100,0.58,3.644,4.096,4,53,0.678,2.327,3.5,3,-73,0.428,1.577,2.723,3,-61,1.111,3.766,5.071,6,-51,0.481,4.163,4.664,4,-76,0.784,3.847,4.335,4,-32,0.62,3.341,3.755,4,100,0.707,2.923,3.406,4,91,5bd02c180f10750001d89ae9
2019-02-23 15:25:03,2019-02-23 15:28:52,IP Address,79.71.86.4,100,229,True,2019-02-23 15:28:53,R_1rC8pmuuN8fbLQb,,,,,52.53179931640625,-1.576904296875,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5c06f8098ea12d0001e8eeae,18,Female,20.936,56.721,60,3,No,7.156,8.484,9.53,2,-26,4.957,6.576,7.105,2,37,7.622,7.622,9.736,1,-21,3.732,3.732,5.336,1,-58,3.1,4.575,6.283,2,100,3.543,3.543,4.815,1,100,4.129,4.129,5.186,1,-17,5.237,9.633,10.464,5,-80,4.88,7.379,9.225,5,61,5.285,5.285,7.283,1,25,2.864,3.84,4.968,3,96,2.903,3.391,5.055,2,80,4.257,4.257,5.863,1,46,2.837,6.71,8.568,3,24,2.642,3.169,4.886,2,29,5c06f8098ea12d0001e8eeae
2019-02-23 15:25:58,2019-02-23 15:28:57,IP Address,90.219.92.83,100,179,True,2019-02-23 15:28:58,R_1I9GLYrC4ArIFRn,,,,,53.350006103515625,-1.5500030517578125,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5bd971a3bbebed00010514a9,23,Female,2.187,16.658,21.207,7,Yes,0.77,5.166,6.594,5,13,0.821,2.97,5.593,2,52,0.95,2.747,4.586,3,57,1.384,3.293,4.668,3,54,0.934,5.223,6.044,4,100,0.739,3.865,5.424,4,95,1.705,4.558,8.975,4,85,1.697,4.538,5.568,4,91,0.803,6.074,7.466,6,-37,1.858,6.337,7.39,3,-68,1.287,3.114,5.958,3,50,0.764,1.946,2.984,2,50,0.507,4.587,6.11,5,41,1.113,5.784,6.393,6,39,0.946,2.159,3.22,2,60,5bd971a3bbebed00010514a9
2019-02-23 15:25:18,2019-02-23 15:29:21,IP Address,86.139.89.181,100,242,True,2019-02-23 15:29:23,R_b46OXalHZgRPJWF,,,,,52.2122039794921875,-0.506195068359375,anonymous,EN,I consent to participate.,Yes,Yes,Yes,Yes,Yes,Yes,5a78ab90aa46dd00016b2db5,24,Female,0.712,65.673,66.426,14,Yes,0.461,2.057,2.507,3,37,8.391,13.884,15.076,6,-61,0.379,2.121,3.11,3,-20,0.393,2.224,2.953,3,-18,0.341,3.663,4.763,4,81,0.487,1.952,2.781,3,89,0.638,3.154,3.676,3,29,0.872,3.438,3.96,4,31,0.522,2.007,2.678,3,32,0.531,1.862,2.636,3,-56,0.509,5.092,5.559,8,60,0.376,6.697,6.735,7,64,0.306,2.79,2.829,4,77,0.411,2.28,2.708,4,-28,0.676,2.407,3.193,4,-31,5a78ab90aa46dd00016b2db5
